ID,id_article,id_experiment,publication_year,Authors,language,document_type,doi,Book_DOI,Commentaires,experiment_type,control_Land_Use,control_type,control_Comment,control_species,control_NB_species,control_N_Woody,control_N_herb,control_N2_fixing,treatment_Land_Use,NEW_treatment_type,main_culture,Notes,treatment_species,treatment_NB_species,treatment_N_Woody,treatment_N_herb,treatment_N2_fixing,density,Organic_management,info,Confunding_factors,country,latitude,longitude,Y_(WGS84),X_(WGS84),altitude,precipitation,temperature,climate,soil_type,soil_depth_start,soil_depth_end,Thickness,Bulk_density_C,Coarse_fragment_C,Bulk_density_T,Coarse_fragment_T,Design,time_since_conversion,history,history_C,history_T,control_replicate_nb,treatment_replicate_nb,Table/Fig,Transformation,soc_unit_control,...60,control_soc_mean,control_soc_sd,control_soc_sd_F,control_soc_mean_T_ha,control_soc_sd_T_ha,treatment_soc_mean,treatment_soc_sd,treatment_soc_sd_F,treatment_soc_mean_T_ha,treatment_soc_sd_T_ha,delta_stock_C.yr,delta_stock_T.yr,Keep_ratio,Ratio,Ratio_vi,Keep_rate,Crate,Crate_vi,...79,delta_stock_T,Temperature_Wordclim,Precipitation_Wordclim,ETP_Wordclim,FAO_Climate,MEAN_depth,depth_diff,Depthfrom_zero,MEAN_depthD
1,5,1,2019,"Aryal, Deb R.; Gomez-Gonzalez, Rogelio R.; Hernandez-Nuriasmu, Rodrigo; Morales-Ruiz, Danilo E.",English,Article,10.1007/s10457-018-0310-y,http://dx.doi.org/10.1007/s10457-018-0310-y,"We have the Pastureland age but not the SAF age. We don't have the SD but the SE for the SOC. AGB doesn't take in count the litter biomass, just the grass and trees biomass. The biomass DATA is already converted in carbon. No need to make any calcul here.",LMP,Grassland,Full sun,NA,"Cynodon dactylon,Cynodon plectostachyus,Hiparrhenia rufa",3,0,3,0,grassland,SilvoPasture,Pasture,NA,"Cynodon dactylon,Cynodon plectostachyus,Hiparrhenia rufa,Acacia farnesiana,Alvaradoa amorphoides,Astronium graveolens,Bumelia Celastrina,Bursera copallifera,Bursera excelsa,Byrsonima crassifolia,Ceiba aesculifolia,Clethra mexicana,Cochlospermum vitifolium,Comacladia guatemalensis,Haematoxilum brasiletto,Leucaena leucocephala,Lysiloma acapulcense,Payena lucida,Pimenta dioica,Pithecellobium dulce,Swietenia macrophylla,Thevetia thevetioides,Tabebuia dominguensis",23,20,3,4,282,NO,NA,NA,Mexico,16°37'N,93°06'W,16.6166666666667,-93.1,494.5,1150,23,NA,Leptosols,0,15,15,110,40,130,39,CI,12.4,Maize cutivation for 10–15 years,cropland,cropland,10,10,Table 2,SE,t C ha-1,Done,"61,52","6,94 SE","21,95",61.52,21.95,"89,72","5,54 SE","17,52",89.72,17.52,NA,NA,YES,"0,3773313845","0,01653860842",YES,"2,274193548",NA,NA,NA,237,140,1861,Tropical Moist,7.5,15,TRUE,"(5,10]"
2,5,2,2019,"Aryal, Deb R.; Gomez-Gonzalez, Rogelio R.; Hernandez-Nuriasmu, Rodrigo; Morales-Ruiz, Danilo E.",English,Article,10.1007/s10457-018-0310-y,http://dx.doi.org/10.1007/s10457-018-0310-y,"We have the Pastureland age but not the SAF age. We don't have the SD but the SE for the SOC. AGB doesn't take in count the litter biomass, just the grass and trees biomass. The biomass DATA is already converted in carbon. No need to make any calcul here.",LMP,Grassland,Full sun,NA,"Cynodon plectostachyus,Brachiaria dictyoneura,Hiparrhenia rufa",3,0,3,0,grassland,SilvoPasture,Pasture,NA,"Cynodon plectostachyus,Brachiaria dictyoneura,Hiparrhenia rufa,Acacia farnesiana,Bucida buceras,Bursera graveolens,Byrsonima crassifolia,Cordia alliodora,Cordia dentata,Gliricidia sepium,Guazuma ulmifolia,Heliocarpus donell,Inga edulis,Leucaena leucocephala,Licania arborea,Pithecellobium dulce,Swietenia macrophylla",17,14,3,4,118,NO,NA,NA,Mexico,16°37'N,93°06'W,16.6166666666667,-93.1,591,1750,21,NA,Leptosols,0,15,15,110,40,80,110,CI,36.9,Maize for 10–15 years and 1–3 years of cotton cultivation,cropland,cropland,10,10,Table 2,SE,t C ha-1,Done,"50,95","5,91 SE","18,69",50.95,18.69,"48,46","3,90 SE","12,33",48.46,12.33,NA,NA,YES,"-0,05010604428","0,01993191777",YES,"-0,0674796748",NA,NA,NA,237,140,1861,Tropical Moist,7.5,15,TRUE,"(5,10]"
3,7,3,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LMP,Cropland,Full sun,NA,Coffea arabica,1,1,0,0,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Erythrina poeppigiana",2,2,0,1,417,NA,NA,NA,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,0,100,100,9475,43,73,43,BACI,16,Sugar cane,cropland,cropland,3,3,Figure 3,NA,t C ha-1,Done,"92,35","4,50","4,50",92.35,4.5,"101,59","6,00","6,00",101.59,6,NA,NA,YES,"0,09531017995","0,001953205707",NO,NA,NA,NA,NA,187,94,1592,Tropical Wet,50,100,TRUE,"(25,50]"
4,7,4,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LMP,Cropland,Full sun,NA,Coffea arabica,1,1,0,0,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Terminalia amazonia",2,2,0,0,417,NA,NA,NA,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,0,100,100,9475,43,62,43,BACI,16,Sugar cane,cropland,cropland,3,3,Figure 3,NA,t C ha-1,Done,"92,35","4,50","4,50",92.35,4.5,"109,09","11,50","11,50",109.09,11.5,NA,NA,YES,"0,1665731999","0,004493319593",NO,NA,NA,NA,NA,187,94,1592,Tropical Wet,50,100,TRUE,"(25,50]"
5,7,5,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LMP,Cropland,Full sun,NA,Coffea arabica,1,1,0,0,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Erythrina poeppigiana",2,2,0,1,417,NA,NA,Organic_T vs. Conv_C,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,0,100,100,9475,43,99,43,BACI,16,Sugar cane,cropland,cropland,3,3,Figure 3,NA,t C ha-1,Done,"92,35","4,50","4,50",92.35,4.5,"113,71","7,00","7,00",113.71,7,NA,NA,YES,"0,2080299135","0,002053609353",NO,NA,NA,NA,NA,187,94,1592,Tropical Wet,50,100,TRUE,"(25,50]"
6,7,6,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LMP,Cropland,Full sun,NA,Coffea arabica,1,1,0,0,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Terminalia amazonia",2,2,0,0,417,NA,NA,Organic_T vs. Conv_C,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,0,100,100,9475,43,103,43,BACI,16,Sugar cane,cropland,cropland,3,3,Figure 3,NA,t C ha-1,Done,"92,35","4,50","4,50",92.35,4.5,"125,25","34,49","34,49",125.25,34.49,NA,NA,YES,"0,3047235387","0,02606761948",NO,NA,NA,NA,NA,187,94,1592,Tropical Wet,50,100,TRUE,"(25,50]"
7,7,7,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LUC,Forest,Forest,NA,Forest,NA,1,0,No fixing,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Erythrina poeppigiana",2,2,0,N2 fixing,417,NA,NA,NA,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,0,100,100,705,43,73,43,CI,16,Sugar cane,forest,forest,3,3,Figure 3,NA,t C ha-1,Done,"146,60","9,00","9,00",146.6,9,"101,59","6,00","6,00",101.59,6,NA,NA,YES,"-0,3667892464","0,002418497209",YES,"-2,81329365",NA,NA,NA,187,94,1592,Tropical Wet,50,100,TRUE,"(25,50]"
8,7,8,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LUC,Forest,Forest,NA,Forest,NA,1,0,No fixing,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Terminalia amazonia",2,2,0,N2 fixing,417,NA,NA,NA,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,0,100,100,705,43,62,43,CI,16,Sugar cane,forest,forest,3,3,Figure 3,NA,t C ha-1,Done,"146,60","9,00","9,00",146.6,9,"109,09","11,50","11,50",109.09,11.5,NA,NA,YES,"-0,2955262264","0,004958611095",YES,"-2,344318181",NA,NA,NA,187,94,1592,Tropical Wet,50,100,TRUE,"(25,50]"
9,7,9,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LUC,Forest,Forest,NA,Forest,NA,1,0,No fixing,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Erythrina poeppigiana",2,2,0,N2 fixing,417,NA,NA,Organic_T vs. Conv_C,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,0,100,100,705,43,99,43,CI,16,Sugar cane,forest,forest,3,3,Figure 3,NA,t C ha-1,Done,"146,60","9,00","9,00",146.6,9,"113,71","7,00","7,00",113.71,7,NA,NA,YES,"-0,2540695129","0,002518900855",YES,"-2,055717894",NA,NA,NA,187,94,1592,Tropical Wet,50,100,TRUE,"(25,50]"
10,7,10,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LUC,Forest,Forest,NA,Forest,NA,1,0,No fixing,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Terminalia amazonia",2,2,0,N2 fixing,417,NA,NA,Organic_T vs. Conv_C,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,0,100,100,705,43,103,43,CI,16,Sugar cane,forest,forest,3,3,Figure 3,NA,t C ha-1,Done,"146,60","9,00","9,00",146.6,9,"125,25","34,49","34,49",125.25,34.49,NA,NA,YES,"-0,1573758876","0,02653291098",YES,"-1,334217169",NA,NA,NA,187,94,1592,Tropical Wet,50,100,TRUE,"(25,50]"
11,7,11,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LMP,Cropland,Shaded perennial,Conventional,"Coffea arabica,Erythrina poeppigiana",2,2,0,N2 fixing,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Terminalia amazonia",2,2,0,N2 fixing,417,NO,NA,NA,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,0,100,100,8425,43,73,43,BACI,16,Sugar cane,cropland,cropland,3,3,Figure 3,NA,t C ha-1,Done,"101,59","6,00","6,00",101.59,6,"109,09","11,50","11,50",109.09,11.5,NA,NA,YES,"0,07126301998","0,00486449405",NO,NA,NA,NA,NA,187,94,1592,Tropical Wet,50,100,TRUE,"(25,50]"
12,7,12,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LMP,Cropland,Shaded perennial,Conventional,"Coffea arabica,Erythrina poeppigiana",2,2,0,N2 fixing,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Terminalia amazonia",2,2,0,N2 fixing,417,YES,NA,Organic_T vs. Conv_C,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,0,100,100,8425,43,62,43,BACI,16,Sugar cane,cropland,cropland,3,3,Figure 3,NA,t C ha-1,Done,"101,59","6,00","6,00",101.59,6,"113,71","7,00","7,00",113.71,7,NA,NA,YES,"0,1127197335","0,002424783811",NO,NA,NA,NA,NA,187,94,1592,Tropical Wet,50,100,TRUE,"(25,50]"
