id_article,country,lon_database,lat_database,lon_used,lat_used
7,NA,NA,NA,NA,NA
7,Costa Rica,NA,NA,NA,NA
83,Costa Rica,-886333,9.88333333333333,-88.63329999999999,9.88333333333333
107,Mexico,-92416667,17.116667,-92.41666699999999,17.116667
138,Costa Rica,-836333,9.88333333333333,-83.63329999999999,9.88333333333333
157,Guatemala,NA,NA,NA,NA
166,Costa Rica,-83.9,95,-83.9,9.5
174,Colombia,-76051389,1.853889,-76.051389,1.853889
1480,Nicaragua,-8545,12.8333333333333,-85.45,12.8333333333333
NA,NA,NA,NA,NA,NA
