metric,predictor,level,xgb_estimate,xgb_lb,xgb_ub,n_obs,n_studies,max_time_observed,standardized_time,time_within_support,xgb_formatted,metafor_formatted,depth,initial_soc,precipitation,temperature
RR,NEW_treatment_type2,Alley/Hedgerow,1.1423844066535511,1.0473571696941835,1.219051301943367,43,8,31,25,TRUE,1.14 [1.05; 1.22],1.04 [0.92; 1.17],13.0 ± 9.3,58.3 ± 29.5,2130 ± 971,20.4 ± 3.5
RR,NEW_treatment_type2,Multistrata system,1.1120186517808295,1.0191540830704475,1.1929516568549574,31,8,36,25,TRUE,1.11 [1.02; 1.19],1.02 [0.90; 1.16],22.0 ± 9.3,114.3 ± 74.3,1858 ± 673,25.3 ± 1.6
RR,NEW_treatment_type2,Other,1.087753338850836,1.0085413959228178,1.1948251051352035,3,2,20.6,25,FALSE,1.09 [1.01; 1.19],1.06 [0.81; 1.39],15.0 ± 0.0,70.9 ± 21.7,2353 ± 1955,25.6 ± 2.1
RR,NEW_treatment_type2,Shaded perennial,1.1721965223093738,1.0542318971562556,1.269454638545654,71,13,20,25,FALSE,1.17 [1.05; 1.27],1.05 [0.96; 1.15],13.3 ± 13.0,50.8 ± 35.2,2538 ± 643,22.0 ± 2.5
RR,NEW_treatment_type2,SilvoPasture,1.1540992078481693,1.05725970712917,1.2802254215347932,170,29,70,25,TRUE,1.15 [1.06; 1.28],1.10 [1.03; 1.17],24.7 ± 17.2,48.2 ± 34.8,1941 ± 849,26.2 ± 3.4
RR,History_reclass,Cropland,1.174700005424609,1.0761941705499056,1.2665393209290905,75,13,36.9,25,TRUE,1.17 [1.08; 1.27],1.11 [1.00; 1.22],14.5 ± 12.0,54.8 ± 36.9,2078 ± 831,21.0 ± 3.1
RR,History_reclass,Forest,1.1864531438752302,1.077916497192074,1.3001516601030203,13,4,12.6820185614849,25,FALSE,1.19 [1.08; 1.30],1.05 [0.89; 1.24],11.5 ± 11.2,37.6 ± 25.6,2308 ± 1132,24.7 ± 4.0
RR,History_reclass,Grassland,1.1839429464363365,1.02747902316986,1.290673639388245,78,7,20,25,FALSE,1.18 [1.03; 1.29],1.08 [0.95; 1.23],23.7 ± 17.0,39.1 ± 22.2,1546 ± 426,26.1 ± 3.7
RR,History_reclass,Unknown/mixed,1.1298359291468907,1.036613887497324,1.2284751601567852,152,30,70,25,TRUE,1.13 [1.04; 1.23],1.05 [0.98; 1.12],21.9 ± 15.9,68.4 ± 52.6,2361 ± 875,25.1 ± 3.1
RR,diff_species_class,A:<0/+1,1.1504713084464608,1.0552574621370685,1.2433739456014878,254,39,70,25,TRUE,1.15 [1.06; 1.24],1.06 [1.01; 1.12],20.1 ± 15.9,51.6 ± 35.1,2210 ± 824,24.2 ± 3.9
RR,diff_species_class,C+2+,1.1501044922331183,1.0390586214417796,1.3292693413329524,64,17,40,25,TRUE,1.15 [1.04; 1.33],1.08 [1.00; 1.17],20.6 ± 14.5,77.9 ± 65.4,1641 ± 825,24.9 ± 3.4
storage_rate,NEW_treatment_type2,Alley/Hedgerow,0.15280717879952865,-0.7121107402431428,0.6875388102864145,42,8,31,5,TRUE,0.15 [-0.71; 0.69],0.23 [-0.27; 0.73],13.2 ± 9.4,57.6 ± 29.4,2129 ± 983,20.5 ± 3.5
storage_rate,NEW_treatment_type2,Other,0.15791429870366128,-0.7902490213301031,0.6340703517497114,11,4,36,5,TRUE,0.16 [-0.79; 0.63],0.40 [-0.31; 1.11],14.8 ± 10.9,41.0 ± 18.0,1366 ± 833,25.4 ± 1.7
storage_rate,NEW_treatment_type2,Shaded perennial,0.3058244123549665,-0.6935916599940654,0.7786874337133357,60,10,20,5,TRUE,0.31 [-0.69; 0.78],0.36 [-0.03; 0.75],12.0 ± 9.9,46.9 ± 34.8,2333 ± 659,22.1 ± 2.2
storage_rate,NEW_treatment_type2,SilvoPasture,0.21179457375954358,-0.5651221520152787,0.743145644368214,136,23,70,5,TRUE,0.21 [-0.57; 0.74],0.19 [-0.10; 0.49],24.6 ± 16.9,45.5 ± 30.2,1834 ± 800,26.2 ± 3.2
storage_rate,History_reclass,Cropland,0.3863243575342932,-0.7151519459011761,0.9245512352540857,68,12,36.9,5,TRUE,0.39 [-0.72; 0.92],0.25 [-0.07; 0.56],12.9 ± 9.2,48.5 ± 26.6,2155 ± 796,21.3 ± 2.7
storage_rate,History_reclass,Forest,0.2759302224232816,-0.5256899183361966,0.7787356592216645,13,5,12.6820185614849,5,TRUE,0.28 [-0.53; 0.78],0.36 [-0.27; 0.98],11.7 ± 11.1,33.7 ± 20.1,2248 ± 1160,25.3 ± 3.1
storage_rate,History_reclass,Grassland,0.24573924826830637,-0.5205591650122404,0.7713553744839973,81,8,20,5,TRUE,0.25 [-0.52; 0.77],0.36 [-0.11; 0.84],24.0 ± 17.0,39.9 ± 22.2,1589 ± 472,25.7 ± 4.0
storage_rate,History_reclass,Unknown/mixed,0.09637618169060438,-0.7330834020309877,0.5373194743654022,87,18,70,5,TRUE,0.10 [-0.73; 0.54],0.18 [-0.13; 0.49],19.8 ± 15.8,56.0 ± 39.2,2209 ± 912,24.8 ± 3.1
storage_rate,diff_species_class,A:<0/+1,0.22293163860018858,-0.6518504649051998,0.7178421628483573,210,32,70,5,TRUE,0.22 [-0.65; 0.72],0.25 [0.01; 0.48],18.8 ± 15.1,48.9 ± 32.3,2144 ± 792,24.1 ± 3.8
storage_rate,diff_species_class,C+2+,0.28380558035871944,-0.6221240691091868,0.7930907154694871,39,11,36.9,5,TRUE,0.28 [-0.62; 0.79],0.29 [-0.03; 0.61],17.7 ± 14.6,40.7 ± 21.5,1474 ± 762,24.1 ± 3.4
