variable,share_mean,share_q17,share_q83
control_soc_mean_T_ha,34.17552890999487,25.274095485832106,41.05438358413916
time_since_conversion,15.392248212067186,8.808571156824396,20.783983690599587
temperature,13.96938823382948,7.603254535653664,19.73981120542002
precipitation,13.917933547637233,7.645839860537717,18.793191827399234
MEAN_depth,7.09273758216551,5.287078624781956,8.914003782544786
main_culture2,4.919566393760284,1.6301260256552506,8.250101972982229
History_reclass,3.9591885315268627,1.938603651396745,5.595670330685258
NEW_treatment_type2,2.919914986623443,1.523191699522702,4.427779810315029
diff_species_class,2.676118078126679,1.234681298933863,3.7360824589746477
Grouped_Design,0.9773755242684614,0.3334213880112563,1.4597306610347074
