variable,share_mean,share_q17,share_q83
control_soc_mean_T_ha,42.520108409760965,32.89935021777947,52.63383508667492
time_since_conversion,17.26966006518189,9.730702547340814,24.88354513544447
temperature,12.077933996153766,6.6834176933048095,18.513548085013543
precipitation,9.914114775689598,5.390466071992232,14.30199017161894
History_reclass,5.741450808748783,2.327250081294393,8.536142786865433
MEAN_depth,4.109840000235419,1.7858811727665973,6.435857839005503
NEW_treatment_type2,3.5217187402628958,1.7556633028185313,5.816487249135886
main_culture2,2.2057811091494264,0.5858270204700539,3.7309736018511903
Grouped_Design,1.5966083680411096,0.3736831094784265,2.6370844981044868
diff_species_class,1.0427837267761562,0.22468614379881702,1.7473156907313503
