"","NEW_treatment_type2","diff_species_class","History_reclass","control_soc_mean_T_ha","precipitation","temperature","main_culture2","MEAN_depth","time_since_conversion","Grouped_Design"
"NEW_treatment_type2",NA,0.3,5.9,23.4,22.7,19.4,7.3,8.1,12.5,0.4
"diff_species_class",0.8,NA,3.7,9.8,13.1,33.8,3.1,14.7,20.8,0
"History_reclass",4.2,0.8,NA,15.1,7.6,25.5,18.9,6.4,12.5,8.9
"control_soc_mean_T_ha",6.7,0.8,6,NA,10.8,36,5.8,7.1,20.5,6.3
"precipitation",10.7,1.9,5,17.7,NA,17.1,10.8,14.4,21.9,0.6
"temperature",5.3,2.7,9.7,34.2,9.8,NA,11,4,22.6,0.6
"main_culture2",4.6,0.6,16.6,12.7,14.4,25.5,NA,10.5,15.2,0
"MEAN_depth",6.6,3.6,7.3,20.3,24.8,12.1,13.6,NA,9,2.8
"time_since_conversion",4.4,2.2,6.1,25,16.2,29.1,8.4,3.9,NA,4.8
"Grouped_Design",0.8,0,22.4,39.5,2.2,4.2,0,6.2,24.7,NA
