"","NEW_treatment_type2","diff_species_class","History_reclass","control_soc_mean_T_ha","precipitation","temperature","main_culture2","MEAN_depth","time_since_conversion","Grouped_Design"
"NEW_treatment_type2",NA,0,11.5,14.7,16.2,28.1,0,0.8,28.7,0
"diff_species_class",0,NA,2.5,33.6,3.3,32.4,16.3,9.9,2.1,0
"History_reclass",9.8,0.7,NA,44.8,7,6.3,7,0.4,22.4,1.6
"control_soc_mean_T_ha",3.4,2.8,12.3,NA,8.7,35,5.3,4.4,25,3.1
"precipitation",13.5,1,6.9,31.1,NA,15.9,3.8,2.6,25.2,0
"temperature",9.9,4.1,2.6,52.9,6.7,NA,5.5,3.8,7.1,7.5
"main_culture2",0,8.4,11.9,32.5,6.6,22.3,NA,3.3,15,0
"MEAN_depth",1.5,6.4,0.8,34.2,5.5,19.3,4.1,NA,19.7,8.5
"time_since_conversion",11.3,0.3,10.3,42.1,11.8,8,4.1,4.3,NA,7.8
"Grouped_Design",0,0,3,21.8,0,34.8,0,7.8,32.6,NA
