variable,main,interaction,interaction_share
NEW_treatment_type2,0.005437555263969267,0.009599903007605142,0.6383993115214172
diff_species_class,0.0012619845999879598,0.002870624751281614,0.6946276570757246
History_reclass,0.015176601870139994,0.013406963639344146,0.4690444806438043
control_soc_mean_T_ha,0.05326863832013249,0.03361938591293644,0.3869277292202618
precipitation,0.019746447357813304,0.020363916450494218,0.5076971265535246
temperature,0.03271515862781953,0.03539288131488669,0.5196579044802913
main_culture2,0.023009070598226735,0.015278719719212883,0.3990493991044872
MEAN_depth,0.0077205419177248024,0.011833934210052854,0.6051777676233644
time_since_conversion,0.029234406629096984,0.027504707170055837,0.48475743324821746
Grouped_Design,0.0036550950888271953,0.005315792468748171,0.5925603720514041
