variable,main,interaction,interaction_share
NEW_treatment_type2,0.05280185880604196,0.03393504050768115,0.3912411070280455
diff_species_class,0.0038439324883925057,0.012150445375113464,0.7596697713911634
History_reclass,0.056999898997783446,0.039806593965634865,0.41119756275725394
control_soc_mean_T_ha,0.22139871136348946,0.1453606836066719,0.39633799597280417
precipitation,0.035181581611225164,0.04052326564553633,0.5352796698485781
temperature,0.09133172369221723,0.09623794002649208,0.5130783844173025
main_culture2,0.031249281808048535,0.023578257887763535,0.4300440621369798
MEAN_depth,0.010736593283735309,0.018869826201972247,0.6373559021914696
time_since_conversion,0.11792076720171665,0.08624988001019479,0.42244015576183624
Grouped_Design,0.012333138465757915,0.020618933540638953,0.6257249479376069
