removed_study,LRT,p,coef,metric,test
5,17.968405780655303,2.2460203526922348e-5,-0.018785376696214072,RR,initial SOC linear
7,18.130724962654995,2.062465146603892e-5,-0.02027193773691814,RR,initial SOC linear
9,16.277440561472076,5.471146199397749e-5,-0.018079654779765877,RR,initial SOC linear
10,18.188023066755477,2.001334563341464e-5,-0.018581432900414994,RR,initial SOC linear
14,17.23727898372681,3.29899003630993e-5,-0.018430264158436585,RR,initial SOC linear
16,17.989255737706117,2.2215532121204213e-5,-0.018801882529426106,RR,initial SOC linear
17,17.706770880449994,2.577076642331028e-5,-0.0188063480907318,RR,initial SOC linear
19,15.451335462847055,8.465710217227892e-5,-0.017878271114492993,RR,initial SOC linear
20,17.93157931273629,2.2898990288185133e-5,-0.018967145549301866,RR,initial SOC linear
29,17.649583488924122,2.6557342660774704e-5,-0.018744959622070043,RR,initial SOC linear
31,17.03713907837323,3.665579720869843e-5,-0.018414011377425772,RR,initial SOC linear
33,17.491884824658882,2.8853666208595946e-5,-0.018846670938221555,RR,initial SOC linear
51,15.02370328104405,1.0616927056269923e-4,-0.016274360620997002,RR,initial SOC linear
52,17.730719614807526,2.5448360940190365e-5,-0.018798110173546677,RR,initial SOC linear
54,17.001843487034648,3.7343543128969626e-5,-0.018624662536444542,RR,initial SOC linear
58,18.15147833957019,2.0401099228696257e-5,-0.018882927494973542,RR,initial SOC linear
65,17.482322617726595,2.8999156294540506e-5,-0.018551780331689555,RR,initial SOC linear
74,15.596575447731652,7.83964456379512e-5,-0.017588646632620015,RR,initial SOC linear
78,17.587546110194012,2.7437935319729133e-5,-0.018759376146085548,RR,initial SOC linear
81,17.036249644850614,3.6672970744590964e-5,-0.01838320467277427,RR,initial SOC linear
90,18.492674948002787,1.705585582092107e-5,-0.019428419270259484,RR,initial SOC linear
91,16.197113984459975,5.708101200642628e-5,-0.017587423878681528,RR,initial SOC linear
99,17.749576864748292,2.519735305655489e-5,-0.018765849362384096,RR,initial SOC linear
102,17.722743228995,2.555528892682271e-5,-0.01879799881072386,RR,initial SOC linear
108,17.667647437187952,2.6306312183032675e-5,-0.018689619255006625,RR,initial SOC linear
113,17.4998363354905,2.873324179656394e-5,-0.01857648814189059,RR,initial SOC linear
114,19.046725243920378,1.2755647970193312e-5,-0.018177112584073913,RR,initial SOC linear
115,19.149945667718384,1.2084094285403032e-5,-0.019248757523241018,RR,initial SOC linear
116,17.47478603360753,2.9114345638162855e-5,-0.01857093728046052,RR,initial SOC linear
121,21.30708586693663,3.91282486853037e-6,-0.022095159747222315,RR,initial SOC linear
124,17.446853071828514,2.954529864879047e-5,-0.01875302742297749,RR,initial SOC linear
129,17.614529099874403,2.7051374401881506e-5,-0.01867520198527391,RR,initial SOC linear
137,17.625557475527103,2.6894960639128344e-5,-0.018748299689727497,RR,initial SOC linear
139,18.210255272743325,1.9781084337948472e-5,-0.01940856536936908,RR,initial SOC linear
148,13.52795876230914,2.350355467479111e-4,-0.01751851462016542,RR,initial SOC linear
150,17.697228390536566,2.5900371106233996e-5,-0.018600457842369262,RR,initial SOC linear
151,17.7844107992089,2.4740203724878923e-5,-0.018773845891281664,RR,initial SOC linear
153,11.00043369216246,9.109057080400623e-4,-0.014893464948619853,RR,initial SOC linear
154,17.460431818696975,2.9335009260739788e-5,-0.018562420267580825,RR,initial SOC linear
