metric,predictor,level,estimate,ci_lb,ci_ub,n_obs,n_studies,depth,initial_soc,precipitation,temperature,formatted
RR,NEW_treatment_type2,Alley/Hedgerow,1.04,0.92,1.17,43,8,13.0 ± 9.3,58.3 ± 29.5,2130 ± 971,20.4 ± 3.5,1.04 [0.92; 1.17]
RR,NEW_treatment_type2,Multistrata system,1.02,0.9,1.16,32,8,22.0 ± 9.3,114.3 ± 74.3,1858 ± 673,25.3 ± 1.6,1.02 [0.90; 1.16]
RR,NEW_treatment_type2,Other,1.06,0.81,1.39,3,2,15.0 ± 0.0,70.9 ± 21.7,2353 ± 1955,25.6 ± 2.1,1.06 [0.81; 1.39]
RR,NEW_treatment_type2,Shaded perennial,1.05,0.96,1.15,72,13,13.3 ± 13.0,50.8 ± 35.2,2538 ± 643,22.0 ± 2.5,1.05 [0.96; 1.15]
RR,NEW_treatment_type2,SilvoPasture,1.1,1.03,1.17,172,29,24.7 ± 17.2,48.2 ± 34.8,1941 ± 849,26.2 ± 3.4,1.10 [1.03; 1.17]
RR,History_reclass,Cropland,1.11,1,1.22,75,13,14.5 ± 12.0,54.8 ± 36.9,2078 ± 831,21.0 ± 3.1,1.11 [1.00; 1.22]
RR,History_reclass,Forest,1.05,0.89,1.24,13,4,11.5 ± 11.2,37.6 ± 25.6,2308 ± 1132,24.7 ± 4.0,1.05 [0.89; 1.24]
RR,History_reclass,Grassland,1.08,0.95,1.23,78,7,23.7 ± 17.0,39.1 ± 22.2,1546 ± 426,26.1 ± 3.7,1.08 [0.95; 1.23]
RR,History_reclass,Unknown/mixed,1.05,0.98,1.12,156,30,21.9 ± 15.9,68.4 ± 52.6,2361 ± 875,25.1 ± 3.1,1.05 [0.98; 1.12]
RR,diff_species_class,A:<0/+1,1.06,1.01,1.12,257,39,20.1 ± 15.9,51.6 ± 35.1,2210 ± 824,24.2 ± 3.9,1.06 [1.01; 1.12]
RR,diff_species_class,C+2+,1.08,1,1.17,65,17,20.6 ± 14.5,77.9 ± 65.4,1641 ± 825,24.9 ± 3.4,1.08 [1.00; 1.17]
storage_rate,NEW_treatment_type2,Alley/Hedgerow,0.23,-0.27,0.73,42,8,13.2 ± 9.4,57.6 ± 29.4,2129 ± 983,20.5 ± 3.5,0.23 [-0.27; 0.73]
storage_rate,NEW_treatment_type2,Other,0.4,-0.31,1.11,11,4,14.8 ± 10.9,41.0 ± 18.0,1366 ± 833,25.4 ± 1.7,0.40 [-0.31; 1.11]
storage_rate,NEW_treatment_type2,Shaded perennial,0.36,-0.03,0.75,85,11,12.0 ± 9.9,46.9 ± 34.8,2333 ± 659,22.1 ± 2.2,0.36 [-0.03; 0.75]
storage_rate,NEW_treatment_type2,SilvoPasture,0.19,-0.1,0.49,139,23,24.6 ± 16.9,45.5 ± 30.2,1834 ± 800,26.2 ± 3.2,0.19 [-0.10; 0.49]
storage_rate,History_reclass,Cropland,0.25,-0.07,0.56,81,13,12.9 ± 9.2,48.5 ± 26.6,2155 ± 796,21.3 ± 2.7,0.25 [-0.07; 0.56]
storage_rate,History_reclass,Forest,0.36,-0.27,0.98,13,5,11.7 ± 11.1,33.7 ± 20.1,2248 ± 1160,25.3 ± 3.1,0.36 [-0.27; 0.98]
storage_rate,History_reclass,Grassland,0.36,-0.11,0.84,81,8,24.0 ± 17.0,39.9 ± 22.2,1589 ± 472,25.7 ± 4.0,0.36 [-0.11; 0.84]
storage_rate,History_reclass,Unknown/mixed,0.18,-0.13,0.49,102,19,19.8 ± 15.8,56.0 ± 39.2,2209 ± 912,24.8 ± 3.1,0.18 [-0.13; 0.49]
storage_rate,diff_species_class,A:<0/+1,0.25,0.01,0.48,223,33,18.8 ± 15.1,48.9 ± 32.3,2144 ± 792,24.1 ± 3.8,0.25 [0.01; 0.48]
storage_rate,diff_species_class,C+2+,0.29,-0.03,0.61,54,12,17.7 ± 14.6,40.7 ± 21.5,1474 ± 762,24.1 ± 3.4,0.29 [-0.03; 0.61]
